,CAMB_D(ell),CAMB_ell
0,1378.7,2.0
1,1272.2,3.0
2,1177.7,4.0
3,1105.7,5.0
4,1053.7,6.0
5,1017.4,7.0
6,992.31,8.0
7,977.01,9.0
8,967.79,10.0
9,963.4,11.0
10,963.78,12.0
11,967.44,13.0
12,972.86,14.0
13,980.09,15.0
14,989.38,16.0
15,1000.3,17.0
16,1012.4,18.0
17,1025.4,19.0
18,1039.3,20.0
19,1054.0,21.0
20,1069.2,22.0
21,1085.0,23.0
22,1101.3,24.0
23,1118.0,25.0
24,1135.2,26.0
25,1152.7,27.0
26,1170.7,28.0
27,1189.1,29.0
28,1207.7,30.0
29,1226.7,31.0
30,1246.0,32.0
31,1265.6,33.0
32,1285.5,34.0
33,1305.8,35.0
34,1326.2,36.0
35,1346.8,37.0
36,1367.8,38.0
37,1389.0,39.0
38,1410.5,40.0
39,1432.2,41.0
40,1454.2,42.0
41,1476.3,43.0
42,1498.7,44.0
43,1521.3,45.0
44,1544.2,46.0
45,1567.2,47.0
46,1590.6,48.0
47,1614.1,49.0
48,1637.9,50.0
49,1662.0,51.0
50,1686.3,52.0
51,1710.9,53.0
52,1735.6,54.0
53,1760.6,55.0
54,1785.9,56.0
55,1811.3,57.0
56,1837.0,58.0
57,1863.0,59.0
58,1889.2,60.0
59,1915.7,61.0
60,1942.5,62.0
61,1969.4,63.0
62,1996.6,64.0
63,2024.0,65.0
64,2051.6,66.0
65,2079.3,67.0
66,2107.3,68.0
67,2135.6,69.0
68,2164.1,70.0
69,2193.0,71.0
70,2222.2,72.0
71,2251.7,73.0
72,2281.5,74.0
73,2311.6,75.0
74,2341.9,76.0
75,2372.5,77.0
76,2403.4,78.0
77,2434.5,79.0
78,2465.9,80.0
79,2497.6,81.0
80,2529.6,82.0
81,2561.9,83.0
82,2594.5,84.0
83,2627.3,85.0
84,2660.4,86.0
85,2693.7,87.0
86,2727.3,88.0
87,2761.1,89.0
88,2795.3,90.0
89,2829.6,91.0
90,2864.3,92.0
91,2899.2,93.0
92,2934.3,94.0
93,2969.7,95.0
94,3005.3,96.0
95,3041.2,97.0
96,3077.2,98.0
97,3113.6,99.0
98,3150.1,100.0
99,3186.8,101.0
100,3223.8,102.0
101,3261.0,103.0
102,3298.4,104.0
103,3336.0,105.0
104,3373.8,106.0
105,3411.7,107.0
106,3449.9,108.0
107,3488.3,109.0
108,3526.8,110.0
109,3565.5,111.0
110,3604.4,112.0
111,3643.4,113.0
112,3682.6,114.0
113,3721.9,115.0
114,3761.4,116.0
115,3801.0,117.0
116,3840.7,118.0
117,3880.5,119.0
118,3920.3,120.0
119,3960.3,121.0
120,4000.4,122.0
121,4040.5,123.0
122,4080.6,124.0
123,4120.9,125.0
124,4161.1,126.0
125,4201.4,127.0
126,4241.7,128.0
127,4282.0,129.0
128,4322.3,130.0
129,4362.6,131.0
130,4402.9,132.0
131,4443.2,133.0
132,4483.4,134.0
133,4523.5,135.0
134,4563.6,136.0
135,4603.7,137.0
136,4643.6,138.0
137,4683.5,139.0
138,4723.2,140.0
139,4762.9,141.0
140,4802.4,142.0
141,4841.8,143.0
142,4881.0,144.0
143,4920.1,145.0
144,4959.0,146.0
145,4997.8,147.0
146,5036.3,148.0
147,5074.7,149.0
148,5112.8,150.0
149,5150.8,151.0
150,5188.5,152.0
151,5225.9,153.0
152,5263.1,154.0
153,5300.1,155.0
154,5336.8,156.0
155,5373.2,157.0
156,5409.3,158.0
157,5445.1,159.0
158,5480.6,160.0
159,5515.7,161.0
160,5550.5,162.0
161,5585.0,163.0
162,5619.1,164.0
163,5652.8,165.0
164,5686.2,166.0
165,5719.1,167.0
166,5751.7,168.0
167,5783.8,169.0
168,5815.5,170.0
169,5846.8,171.0
170,5877.6,172.0
171,5908.0,173.0
172,5937.9,174.0
173,5967.3,175.0
174,5996.2,176.0
175,6024.6,177.0
176,6052.5,178.0
177,6079.9,179.0
178,6106.8,180.0
179,6133.1,181.0
180,6158.9,182.0
181,6184.1,183.0
182,6208.8,184.0
183,6232.9,185.0
184,6256.5,186.0
185,6279.4,187.0
186,6301.8,188.0
187,6323.6,189.0
188,6344.8,190.0
189,6365.3,191.0
190,6385.2,192.0
191,6404.5,193.0
192,6423.2,194.0
193,6441.2,195.0
194,6458.5,196.0
195,6475.2,197.0
196,6491.2,198.0
197,6506.6,199.0
198,6521.2,200.0
199,6535.2,201.0
200,6548.4,202.0
201,6561.0,203.0
202,6572.9,204.0
203,6584.0,205.0
204,6594.5,206.0
205,6604.3,207.0
206,6613.3,208.0
207,6621.7,209.0
208,6629.4,210.0
209,6636.4,211.0
210,6642.7,212.0
211,6648.3,213.0
212,6653.1,214.0
213,6657.3,215.0
214,6660.8,216.0
215,6663.6,217.0
216,6665.7,218.0
217,6667.1,219.0
218,6667.9,220.0
219,6667.9,221.0
220,6667.2,222.0
221,6665.8,223.0
222,6663.7,224.0
223,6660.9,225.0
224,6657.5,226.0
225,6653.3,227.0
226,6648.4,228.0
227,6642.8,229.0
228,6636.6,230.0
229,6629.6,231.0
230,6621.9,232.0
231,6613.6,233.0
232,6604.5,234.0
233,6594.7,235.0
234,6584.3,236.0
235,6573.1,237.0
236,6561.3,238.0
237,6548.7,239.0
238,6535.5,240.0
239,6521.5,241.0
240,6506.9,242.0
241,6491.5,243.0
242,6475.5,244.0
243,6458.8,245.0
244,6441.4,246.0
245,6423.4,247.0
246,6404.7,248.0
247,6385.4,249.0
248,6365.4,250.0
249,6344.8,251.0
250,6323.6,252.0
251,6301.9,253.0
252,6279.5,254.0
253,6256.5,255.0
254,6233.0,256.0
255,6208.9,257.0
256,6184.2,258.0
257,6159.0,259.0
258,6133.3,260.0
259,6107.0,261.0
260,6080.2,262.0
261,6053.0,263.0
262,6025.2,264.0
263,5996.9,265.0
264,5968.2,266.0
265,5939.0,267.0
266,5909.3,268.0
