,freq,I,residual,uncert,poles
0,2.27,200.723,5,14,4
1,2.72,249.508,9,19,3
2,3.18,293.024,15,25,-1
3,3.63,327.77,4,23,-1
4,4.08,354.081,19,22,3
5,4.54,372.079,-30,21,6
6,4.99,381.493,-30,18,8
7,5.45,383.478,-10,18,8
8,5.9,378.901,32,16,10
9,6.35,368.833,4,14,10
10,6.81,354.063,-2,13,12
11,7.26,336.278,13,12,20
12,7.71,316.076,-22,11,25
13,8.17,293.924,8,10,30
14,8.62,271.432,8,11,36
15,9.08,248.239,-21,12,41
16,9.53,225.94,9,14,46
17,9.98,204.327,12,16,57
18,10.44,183.262,11,18,65
19,10.89,163.83,-29,22,73
20,11.34,145.75,-46,22,93
21,11.8,128.835,58,23,98
22,12.25,113.568,6,23,105
23,12.71,99.451,-6,23,121
24,13.16,87.036,6,22,135
25,13.61,75.876,-17,21,147
26,14.07,65.766,6,20,160
27,14.52,57.008,26,19,178
28,14.97,49.223,-12,19,199
29,15.43,42.267,-19,19,221
30,15.88,36.352,8,21,227
31,16.34,31.062,7,23,250
32,16.79,26.58,14,26,275
33,17.24,22.644,-33,28,295
34,17.7,19.255,6,30,312
35,18.15,16.391,26,32,336
36,18.61,13.811,-26,33,363
37,19.06,11.716,-6,35,405
38,19.51,9.921,8,41,421
39,19.97,8.364,26,55,435
40,20.42,7.087,57,88,477
41,20.87,5.801,-116,155,519
42,21.33,4.523,-432,282,573
